X,Y,Z
2.58673,1.05031,23.832
2.59843,1.08148,23.5094
2.61447,1.11353,23.2062
2.63468,1.14629,22.9238
2.65886,1.17964,22.6639
2.68681,1.21346,22.428
2.71832,1.24762,22.2177
2.75318,1.28204,22.0349
2.79117,1.31661,21.8813
2.83206,1.35121,21.7589
2.8756,1.38574,21.6697
2.92153,1.42005,21.6159
2.96959,1.454,21.5994
3.01947,1.48741,21.6225
3.07087,1.52007,21.6873
3.12342,1.55177,21.7959
3.17676,1.58222,21.95
3.23048,1.61114,22.1514
3.28412,1.63821,22.4012
3.33721,1.66305,22.7003
3.38923,1.68528,23.0489
3.43964,1.70449,23.4463
3.48784,1.72025,23.8909
3.53325,1.73213,24.3804
3.57524,1.73967,24.9108
3.61321,1.74249,25.4771
3.64655,1.74018,26.0728
3.6747,1.73243,26.6903
3.69711,1.71898,27.3204
3.71335,1.69967,27.9532
3.72302,1.67445,28.5777
3.72585,1.64342,29.1824
3.72168,1.60678,29.756
3.71046,1.56491,30.2874
3.69227,1.51832,30.7663
3.66734,1.46768,31.1839
3.63598,1.41376,31.533
3.59865,1.35745,31.8081
3.55585,1.2997,32.0062
3.50821,1.2415,32.1262
3.45638,1.18385,32.1691
3.40105,1.12772,32.1377
3.34294,1.07403,32.0363
3.28277,1.02358,31.8704
3.22124,0.97709,31.6464
3.15905,0.935155,31.3711
3.09688,0.898234,31.0515
3.03538,0.866659,30.6946
2.97516,0.840635,30.3071
2.91682,0.82025,29.8951
2.8609,0.805485,29.4643
2.80792,0.796223,29.0199
2.75836,0.792267,28.5664
2.71263,0.793352,28.1078
2.67113,0.799155,27.6477
2.63417,0.809315,27.1889
2.60202,0.82344,26.7343
2.57488,0.841127,26.286
2.5529,0.861966,25.8461
2.53615,0.885559,25.4163
2.52467,0.911527,24.9984
2.51841,0.939519,24.5938
2.5173,0.969214,24.2039
2.52124,1.00033,23.8301
2.53007,1.03263,23.4738
2.54363,1.06589,23.1362
2.56173,1.09996,22.8188
2.58416,1.13468,22.523
2.61074,1.16993,22.2503
2.64123,1.20561,22.0024
2.67543,1.24163,21.7808
2.71312,1.2779,21.5876
2.75408,1.31434,21.4246
2.79806,1.35086,21.2938
2.84484,1.38734,21.1974
2.89414,1.42366,21.1378
2.94571,1.45969,21.1173
2.99924,1.49524,21.1383
3.05441,1.53011,21.2033
3.11087,1.56407,21.3147
3.16824,1.59684,21.4746
3.22608,1.6281,21.6853
3.28393,1.65751,21.9483
3.3413,1.68468,22.2649
3.39761,1.70917,22.6356
3.45229,1.73054,23.0603
3.50471,1.74829,23.5376
3.55421,1.76193,24.0652
3.60011,1.77096,24.6393
3.64174,1.77489,25.2546
3.6784,1.77328,25.9043
3.70947,1.76573,26.5799
3.73433,1.75191,27.2714
3.75246,1.73161,27.9675
3.76342,1.70475,28.656
3.76689,1.67136,29.3237
3.76266,1.63169,29.9576
3.75069,1.58611,30.5449
3.73105,1.5352,31.0737
3.70398,1.47967,31.534
3.66986,1.42041,31.9172
3.62917,1.35842,32.2176
3.58252,1.29477,32.4316
3.53057,1.2306,32.5583
3.47407,1.16704,32.5991
3.41379,1.10519,32.5576
3.35051,1.04607,32.4391
3.28501,0.990604,32.2503
3.21807,0.939584,31.9987
3.15044,0.893657,31.6922
3.08283,0.85332,31.3389
3.01595,0.818924,30.9467
2.95045,0.790672,30.5232
2.88696,0.768638,30.075
2.82606,0.752777,29.6084
2.76831,0.742939,29.129
2.71421,0.738883,28.6414
2.66423,0.740297,28.1499
2.61878,0.74681,27.658
