time,X,Y,Z
6.3,-5.56623,0.0609652,30.8516
6.31,-4.97442,0.219875,30.0213
6.32,-4.42813,0.318719,29.2058
6.33,-3.9289,0.369177,28.4089
6.34,-3.47687,0.381611,27.6329
6.35,-3.07107,0.364948,26.879
6.36,-2.7097,0.326681,26.1474
6.37,-2.39036,0.272945,25.4377
6.38,-2.11026,0.208646,24.7494
6.39,-1.86638,0.13761,24.0817
6.4,-1.65562,0.0627292,23.4337
6.41,-1.4749,-0.0138808,22.8046
6.42,-1.32124,-0.0907521,22.1937
6.43,-1.19183,-0.166941,21.6001
6.44,-1.08404,-0.241922,21.0232
6.45,-0.995474,-0.315501,20.4624
6.46,-0.923961,-0.387742,19.9171
6.47,-0.867566,-0.458902,19.3869
6.48,-0.824586,-0.529389,18.8714
6.49,-0.79354,-0.59972,18.37
6.5,-0.773156,-0.670494,17.8825
6.51,-0.762359,-0.742372,17.4084
6.52,-0.760257,-0.816062,16.9475
6.53,-0.766126,-0.892309,16.4996
6.54,-0.779397,-0.971891,16.0642
6.55,-0.799641,-1.05562,15.6413
6.56,-0.826563,-1.14433,15.2306
6.57,-0.859982,-1.2389,14.8319
6.58,-0.899834,-1.34026,14.4451
6.59,-0.946154,-1.44938,14.0701
6.6,-0.999079,-1.56727,13.7068
6.61,-1.05884,-1.69504,13.3552
6.62,-1.12575,-1.83384,13.0153
6.63,-1.20022,-1.98495,12.6873
6.64,-1.28275,-2.14971,12.3712
6.65,-1.37393,-2.32959,12.0673
6.66,-1.47443,-2.52617,11.7761
6.67,-1.58505,-2.7412,11.4979
6.68,-1.70664,-2.97652,11.2334
6.69,-1.84019,-3.23419,10.9834
6.7,-1.9868,-3.51639,10.7489
6.71,-2.14767,-3.82552,10.531
6.72,-2.32413,-4.16413,10.3314
6.73,-2.51765,-4.53498,10.1517
6.74,-2.72981,-4.94101,9.99442
6.75,-2.96236,-5.38534,9.86212
6.76,-3.21719,-5.87122,9.75814
6.77,-3.49632,-6.40204,9.68646
6.78,-3.80191,-6.98121,9.65182
6.79,-4.13628,-7.61213,9.65989
6.8,-4.50184,-8.29803,9.71744
6.81,-4.90109,-9.04181,9.83245
6.82,-5.33657,-9.84581,10.0143
6.83,-5.81081,-10.7115,10.274
6.84,-6.32622,-11.639,10.6242
6.85,-6.88497,-12.6268,11.0795
6.86,-7.48885,-13.6707,11.6562
6.87,-8.139,-14.7634,12.3728
6.88,-8.8357,-15.8933,13.2488
